Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	1.9073e-06	1.0
5000	1000000	2.861e-06	0.0
61396	1000000	3.0994e-06	0.0
152503	1000000	1.9073e-06	0.0
214826	1000000	2.861e-06	0.0
3128036	1000000	4.0531e-06	1.0
6337399	1000000	4.0531e-06	1.0
10393545	1000000	3.0994e-06	1.0
14700764	1000000	4.0531e-06	0.0
187645041	1000000	3.0994e-06	0.0
450057883	1000000	3.0994e-06	0.0
1295390003	1000000	3.0994e-06	0.0
1360839354	1000000	3.0994e-06	0.0
1493283650	1000000	1.9073e-06	0.0
1843349527	1000000	2.861e-06	0.0
1980098116	1000000	3.0994e-06	0.0
2109248666	1000000	3.0994e-06	0.0
2147445644	1000000	3.0994e-06	0.0
2147470852	1000000	1.9073e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	2.861e-06	1.0
5000	2000000	2.1458e-06	0.0
61396	2000000	2.861e-06	0.0
152503	2000000	2.1458e-06	0.0
214826	2000000	3.0994e-06	0.0
3128036	2000000	4.0531e-06	1.0
6337399	2000000	4.0531e-06	1.0
10393545	2000000	4.0531e-06	1.0
14700764	2000000	4.0531e-06	0.0
187645041	2000000	5.0068e-06	0.0
450057883	2000000	4.0531e-06	0.0
1295390003	2000000	4.0531e-06	0.0
1360839354	2000000	4.0531e-06	0.0
1493283650	2000000	4.0531e-06	0.0
1843349527	2000000	4.0531e-06	0.0
1980098116	2000000	4.0531e-06	0.0
2109248666	2000000	3.0994e-06	0.0
2147445644	2000000	2.861e-06	0.0
2147470852	2000000	5.0068e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	3.0994e-06	1.0
5000	3000000	3.0994e-06	0.0
61396	3000000	2.861e-06	0.0
152503	3000000	2.861e-06	0.0
214826	3000000	2.861e-06	0.0
3128036	3000000	2.861e-06	1.0
6337399	3000000	4.0531e-06	1.0
10393545	3000000	4.0531e-06	1.0
14700764	3000000	3.0994e-06	0.0
187645041	3000000	5.0068e-06	0.0
450057883	3000000	5.0068e-06	0.0
1295390003	3000000	3.0994e-06	0.0
1360839354	3000000	3.0994e-06	0.0
1493283650	3000000	3.0994e-06	0.0
1843349527	3000000	2.861e-06	0.0
1980098116	3000000	3.0994e-06	0.0
2109248666	3000000	4.0531e-06	0.0
2147445644	3000000	3.0994e-06	0.0
2147470852	3000000	3.8147e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	4.0531e-06	1.0
5000	4000000	2.861e-06	0.0
61396	4000000	2.861e-06	0.0
152503	4000000	3.0994e-06	0.0
214826	4000000	3.0994e-06	0.0
3128036	4000000	3.8147e-06	1.0
6337399	4000000	5.0068e-06	1.0
10393545	4000000	4.0531e-06	1.0
14700764	4000000	4.0531e-06	0.0
187645041	4000000	5.9605e-06	0.0
450057883	4000000	5.0068e-06	0.0
1295390003	4000000	2.861e-06	0.0
1360839354	4000000	1.9073e-06	0.0
1493283650	4000000	4.0531e-06	0.0
1843349527	4000000	2.861e-06	0.0
1980098116	4000000	2.861e-06	0.0
2109248666	4000000	2.861e-06	0.0
2147445644	4000000	2.861e-06	0.0
2147470852	4000000	2.861e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	5000000	3.0994e-06	1.0
5000	5000000	3.0994e-06	0.0
61396	5000000	1.9073e-06	0.0
152503	5000000	2.861e-06	0.0
214826	5000000	2.861e-06	0.0
3128036	5000000	4.0531e-06	1.0
6337399	5000000	4.0531e-06	1.0
10393545	5000000	4.0531e-06	1.0
14700764	5000000	4.0531e-06	0.0
187645041	5000000	5.9605e-06	0.0
450057883	5000000	5.9605e-06	0.0
1295390003	5000000	3.8147e-06	0.0
1360839354	5000000	2.861e-06	0.0
1493283650	5000000	3.0994e-06	0.0
1843349527	5000000	3.0994e-06	0.0
1980098116	5000000	4.0531e-06	0.0
2109248666	5000000	3.0994e-06	0.0
2147445644	5000000	4.0531e-06	0.0
2147470852	5000000	3.8147e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	6000000	3.0994e-06	1.0
5000	6000000	2.861e-06	0.0
61396	6000000	2.1458e-06	0.0
152503	6000000	3.0994e-06	0.0
214826	6000000	3.0994e-06	0.0
3128036	6000000	4.0531e-06	1.0
6337399	6000000	3.8147e-06	1.0
10393545	6000000	4.0531e-06	1.0
14700764	6000000	4.0531e-06	0.0
187645041	6000000	5.0068e-06	0.0
450057883	6000000	5.9605e-06	0.0
1295390003	6000000	2.861e-06	0.0
1360839354	6000000	3.0994e-06	0.0
1493283650	6000000	3.0994e-06	0.0
1843349527	6000000	3.0994e-06	0.0
1980098116	6000000	3.0994e-06	0.0
2109248666	6000000	2.861e-06	0.0
2147445644	6000000	2.861e-06	0.0
2147470852	6000000	3.0994e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	7000000	1.9073e-06	1.0
5000	7000000	4.0531e-06	0.0
61396	7000000	3.0994e-06	0.0
152503	7000000	1.9073e-06	0.0
214826	7000000	2.861e-06	0.0
3128036	7000000	3.0994e-06	1.0
6337399	7000000	5.0068e-06	1.0
10393545	7000000	4.0531e-06	1.0
14700764	7000000	4.0531e-06	0.0
187645041	7000000	5.0068e-06	0.0
450057883	7000000	5.0068e-06	0.0
1295390003	7000000	5.9605e-06	1.0
1360839354	7000000	5.0068e-06	0.0
1493283650	7000000	4.0531e-06	1.0
1843349527	7000000	3.0994e-06	0.0
1980098116	7000000	3.0994e-06	0.0
2109248666	7000000	1.9073e-06	0.0
2147445644	7000000	3.0994e-06	0.0
2147470852	7000000	2.1458e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	8000000	3.0994e-06	1.0
5000	8000000	2.861e-06	0.0
61396	8000000	3.0994e-06	0.0
152503	8000000	2.861e-06	0.0
214826	8000000	3.0994e-06	0.0
3128036	8000000	4.0531e-06	1.0
6337399	8000000	5.0068e-06	1.0
10393545	8000000	3.0994e-06	1.0
14700764	8000000	5.0068e-06	0.0
187645041	8000000	5.0068e-06	0.0
450057883	8000000	5.0068e-06	0.0
1295390003	8000000	5.9605e-06	1.0
1360839354	8000000	5.9605e-06	0.0
1493283650	8000000	5.9605e-06	1.0
1843349527	8000000	3.8147e-06	0.0
1980098116	8000000	3.0994e-06	0.0
2109248666	8000000	3.0994e-06	0.0
2147445644	8000000	2.861e-06	0.0
2147470852	8000000	3.8147e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	9000000	3.0994e-06	1.0
5000	9000000	3.0994e-06	0.0
61396	9000000	2.861e-06	0.0
152503	9000000	4.0531e-06	0.0
214826	9000000	3.0994e-06	0.0
3128036	9000000	4.0531e-06	1.0
6337399	9000000	5.0068e-06	1.0
10393545	9000000	3.8147e-06	1.0
14700764	9000000	3.8147e-06	0.0
187645041	9000000	5.0068e-06	0.0
450057883	9000000	5.9605e-06	0.0
1295390003	9000000	5.9605e-06	1.0
1360839354	9000000	5.9605e-06	0.0
1493283650	9000000	5.9605e-06	1.0
1843349527	9000000	7.1526e-06	1.0
1980098116	9000000	4.0531e-06	0.0
2109248666	9000000	5.0068e-06	0.0
2147445644	9000000	4.0531e-06	0.0
2147470852	9000000	3.8147e-06	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	10000000	3.0994e-06	1.0
5000	10000000	3.0994e-06	0.0
61396	10000000	2.861e-06	0.0
152503	10000000	3.0994e-06	0.0
214826	10000000	4.0531e-06	0.0
3128036	10000000	3.8147e-06	1.0
6337399	10000000	5.0068e-06	1.0
10393545	10000000	4.0531e-06	1.0
14700764	10000000	3.0994e-06	0.0
187645041	10000000	5.0068e-06	0.0
450057883	10000000	5.0068e-06	0.0
1295390003	10000000	7.1526e-06	1.0
1360839354	10000000	5.0068e-06	0.0
1493283650	10000000	5.0068e-06	1.0
1843349527	10000000	6.9141e-06	1.0
1980098116	10000000	5.0068e-06	0.0
2109248666	10000000	5.9605e-06	1.0
2147445644	10000000	4.0531e-06	0.0
2147470852	10000000	3.8147e-06	1.0


Coeficientes
f(n)= 1.3757805422647524e-13*n+2.9764375438596494e-06
f(n)= 5.238887190464041e-07*n^-4.295976422564402e-06
f(n)= 3.6439190630526966e-08*e^(-12.706138563698076n)
f(n)= 0.14219638889300068*ln(n)+-14.685018019709954
f(n)= 1/(-0.009769661507523357*n+325603.66034075327)
