Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	0.0020952225	1.0
5000	1000000	0.0019869804	0.0
61396	1000000	0.0020060539	0.0
152503	1000000	0.0015521049	0.0
214826	1000000	0.002145052	0.0
3128036	1000000	0.0014719963	1.0
6337399	1000000	0.002106905	1.0
10393545	1000000	0.0016310215	1.0
14700764	1000000	0.0019237995	0.0
187645041	1000000	0.0022130013	0.0
450057883	1000000	0.0019388199	0.0
1295390003	1000000	0.0021979809	0.0
1360839354	1000000	0.002120018	0.0
1493283650	1000000	0.0020360947	0.0
1843349527	1000000	0.0016260147	0.0
1980098116	1000000	0.0015909672	0.0
2109248666	1000000	0.0015628338	0.0
2147445644	1000000	0.0020949841	0.0
2147470852	1000000	0.0015609264	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	0.0015308857	1.0
5000	2000000	0.0015010834	0.0
61396	2000000	0.0014960766	0.0
152503	2000000	0.0015389919	0.0
214826	2000000	0.0233969688	0.0
3128036	2000000	0.0019419193	1.0
6337399	2000000	0.001543045	1.0
10393545	2000000	0.0015490055	1.0
14700764	2000000	0.001953125	0.0
187645041	2000000	0.00152421	0.0
450057883	2000000	0.0016229153	0.0
1295390003	2000000	0.002147913	0.0
1360839354	2000000	0.0015151501	0.0
1493283650	2000000	0.0015308857	0.0
1843349527	2000000	0.0015881062	0.0
1980098116	2000000	0.0019960403	0.0
2109248666	2000000	0.0015079975	0.0
2147445644	2000000	0.0020329952	0.0
2147470852	2000000	0.0017240047	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	0.0021240711	1.0
5000	3000000	0.0021219254	0.0
61396	3000000	0.0019550323	0.0
152503	3000000	0.0015258789	0.0
214826	3000000	0.0021550655	0.0
3128036	3000000	0.0015380383	1.0
6337399	3000000	0.001516819	1.0
10393545	3000000	0.001611948	1.0
14700764	3000000	0.0017490387	0.0
187645041	3000000	0.0019419193	0.0
450057883	3000000	0.0016000271	0.0
1295390003	3000000	0.0022358894	0.0
1360839354	3000000	0.001529932	0.0
1493283650	3000000	0.0014441013	0.0
1843349527	3000000	0.0020930767	0.0
1980098116	3000000	0.0020530224	0.0
2109248666	3000000	0.0021100044	0.0
2147445644	3000000	0.001543045	0.0
2147470852	3000000	0.0017659664	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	0.0020709038	1.0
5000	4000000	0.0019688606	0.0
61396	4000000	0.0022339821	0.0
152503	4000000	0.0021021366	0.0
214826	4000000	0.0017559528	0.0
3128036	4000000	0.0014331341	1.0
6337399	4000000	0.0016109943	1.0
10393545	4000000	0.0020170212	1.0
14700764	4000000	0.0020370483	0.0
187645041	4000000	0.0024409294	0.0
450057883	4000000	0.001540184	0.0
1295390003	4000000	0.0016260147	0.0
1360839354	4000000	0.0015029907	0.0
1493283650	4000000	0.0020539761	0.0
1843349527	4000000	0.0015568733	0.0
1980098116	4000000	0.0014870167	0.0
2109248666	4000000	0.0015609264	0.0
2147445644	4000000	0.0015408993	0.0
2147470852	4000000	0.0021059513	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	5000000	0.0015399456	1.0
5000	5000000	0.0015459061	0.0
61396	5000000	0.0015509129	0.0
152503	5000000	0.0020430088	0.0
214826	5000000	0.0020821095	0.0
3128036	5000000	0.00207901	1.0
6337399	5000000	0.0015079975	1.0
10393545	5000000	0.0018889904	1.0
14700764	5000000	0.0014808178	0.0
187645041	5000000	0.0020120144	0.0
450057883	5000000	0.0015931129	0.0
1295390003	5000000	0.0015640259	0.0
1360839354	5000000	0.0015659332	0.0
1493283650	5000000	0.0015630722	0.0
1843349527	5000000	0.0021660328	0.0
1980098116	5000000	0.0017261505	0.0
2109248666	5000000	0.0015740395	0.0
2147445644	5000000	0.0017809868	0.0
2147470852	5000000	0.0020451546	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	6000000	0.0020570755	1.0
5000	6000000	0.0020999908	0.0
61396	6000000	0.0021500587	0.0
152503	6000000	0.0020189285	0.0
214826	6000000	0.0020091534	0.0
3128036	6000000	0.0021679401	1.0
6337399	6000000	0.0022690296	1.0
10393545	6000000	0.0019540787	1.0
14700764	6000000	0.0020358562	0.0
187645041	6000000	0.0015668869	0.0
450057883	6000000	0.0015521049	0.0
1295390003	6000000	0.0015349388	0.0
1360839354	6000000	0.0016510487	0.0
1493283650	6000000	0.0018179417	0.0
1843349527	6000000	0.0014791489	0.0
1980098116	6000000	0.0021419525	0.0
2109248666	6000000	0.0014789104	0.0
2147445644	6000000	0.001447916	0.0
2147470852	6000000	0.0020918846	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	7000000	0.0015499592	1.0
5000	7000000	0.0016040802	0.0
61396	7000000	0.0022578239	0.0
152503	7000000	0.0017638206	0.0
214826	7000000	0.0016560555	0.0
3128036	7000000	0.0015771389	1.0
6337399	7000000	0.0021150112	1.0
10393545	7000000	0.0022239685	1.0
14700764	7000000	0.001470089	0.0
187645041	7000000	0.0015850067	0.0
450057883	7000000	0.0020661354	0.0
1295390003	7000000	0.0015189648	1.0
1360839354	7000000	0.0015530586	0.0
1493283650	7000000	0.0020530224	1.0
1843349527	7000000	0.0015571117	0.0
1980098116	7000000	0.0020489693	0.0
2109248666	7000000	0.0015909672	0.0
2147445644	7000000	0.0016760826	0.0
2147470852	7000000	0.0019350052	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	8000000	0.0015308857	1.0
5000	8000000	0.0020000935	0.0
61396	8000000	0.0021131039	0.0
152503	8000000	0.0021510124	0.0
214826	8000000	0.0015320778	0.0
3128036	8000000	0.0018570423	1.0
6337399	8000000	0.0015759468	1.0
10393545	8000000	0.0015540123	1.0
14700764	8000000	0.0019981861	0.0
187645041	8000000	0.001955986	0.0
450057883	8000000	0.0014901161	0.0
1295390003	8000000	0.0020170212	1.0
1360839354	8000000	0.0020370483	0.0
1493283650	8000000	0.0015640259	1.0
1843349527	8000000	0.0015478134	0.0
1980098116	8000000	0.0021100044	0.0
2109248666	8000000	0.0014569759	0.0
2147445644	8000000	0.0016579628	0.0
2147470852	8000000	0.0014579296	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	9000000	0.0020189285	1.0
5000	9000000	0.00157094	0.0
61396	9000000	0.0020599365	0.0
152503	9000000	0.0022079945	0.0
214826	9000000	0.002051115	0.0
3128036	9000000	0.0015947819	1.0
6337399	9000000	0.0022568703	1.0
10393545	9000000	0.001584053	1.0
14700764	9000000	0.0019569397	0.0
187645041	9000000	0.0018899441	0.0
450057883	9000000	0.0016510487	0.0
1295390003	9000000	0.0015661716	1.0
1360839354	9000000	0.0015480518	0.0
1493283650	9000000	0.0020039082	1.0
1843349527	9000000	0.0020718575	1.0
1980098116	9000000	0.0015618801	0.0
2109248666	9000000	0.001573801	0.0
2147445644	9000000	0.0020709038	0.0
2147470852	9000000	0.0020990372	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	10000000	0.0021839142	1.0
5000	10000000	0.0021879673	0.0
61396	10000000	0.0021030903	0.0
