Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	0.0022790432	1.0
5000	1000000	0.0014569759	0.0
61396	1000000	0.0021119118	0.0
152503	1000000	0.0020561218	0.0
214826	1000000	0.0020329952	0.0
3128036	1000000	0.001584053	1.0
6337399	1000000	0.0020620823	1.0
10393545	1000000	0.0015029907	1.0
14700764	1000000	0.0020020008	0.0
187645041	1000000	0.0021250248	0.0
450057883	1000000	0.0015687943	0.0
1295390003	1000000	0.0015261173	0.0
1360839354	1000000	0.0020260811	0.0
1493283650	1000000	0.0020530224	0.0
1843349527	1000000	0.0018081665	0.0
1980098116	1000000	0.0016720295	0.0
2109248666	1000000	0.0020809174	0.0
2147445644	1000000	0.0015699863	0.0
2147470852	1000000	0.0020201206	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	0.0020871162	1.0
5000	2000000	0.001486063	0.0
61396	2000000	0.0015609264	0.0
152503	2000000	0.0015439987	0.0
214826	2000000	0.0018870831	0.0
3128036	2000000	0.0015201569	1.0
6337399	2000000	0.0020518303	1.0
10393545	2000000	0.0021109581	1.0
14700764	2000000	0.0018889904	0.0
187645041	2000000	0.0015158653	0.0
450057883	2000000	0.0019700527	0.0
1295390003	2000000	0.0015439987	0.0
1360839354	2000000	0.0015051365	0.0
1493283650	2000000	0.0015318394	0.0
1843349527	2000000	0.0018279552	0.0
1980098116	2000000	0.0015900135	0.0
2109248666	2000000	0.0020098686	0.0
2147445644	2000000	0.0020210743	0.0
2147470852	2000000	0.0014970303	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	0.0015950203	1.0
5000	3000000	0.0014219284	0.0
61396	3000000	0.0014250278	0.0
152503	3000000	0.001584053	0.0
214826	3000000	0.0015721321	0.0
3128036	3000000	0.0015230179	1.0
6337399	3000000	0.0016720295	1.0
10393545	3000000	0.0015749931	1.0
14700764	3000000	0.0021800995	0.0
187645041	3000000	0.0020802021	0.0
450057883	3000000	0.0020170212	0.0
1295390003	3000000	0.001691103	0.0
1360839354	3000000	0.001636982	0.0
1493283650	3000000	0.0015780926	0.0
1843349527	3000000	0.0014259815	0.0
1980098116	3000000	0.0014908314	0.0
2109248666	3000000	0.0015289783	0.0
2147445644	3000000	0.0015289783	0.0
2147470852	3000000	0.0021319389	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	0.0020329952	1.0
5000	4000000	0.0017170906	0.0
61396	4000000	0.0020711422	0.0
152503	4000000	0.0019059181	0.0
214826	4000000	0.0019979477	0.0
3128036	4000000	0.0015609264	1.0
6337399	4000000	0.0021150112	1.0
10393545	4000000	0.0024869442	1.0
14700764	4000000	0.0015249252	0.0
187645041	4000000	0.00157094	0.0
450057883	4000000	0.0023419857	0.0
1295390003	4000000	0.0019958019	0.0
1360839354	4000000	0.0068328381	0.0
1493283650	4000000	0.0014629364	0.0
1843349527	4000000	0.0015859604	0.0
1980098116	4000000	0.0020182133	0.0
2109248666	4000000	0.0021460056	0.0
2147445644	4000000	0.0020868778	0.0
2147470852	4000000	0.0015389919	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	5000000	0.0015690327	1.0
5000	5000000	0.0021209717	0.0
61396	5000000	0.0020930767	0.0
152503	5000000	0.0022470951	0.0
214826	5000000	0.0015289783	0.0
3128036	5000000	0.0020821095	1.0
6337399	5000000	0.002024889	1.0
10393545	5000000	0.0020139217	1.0
14700764	5000000	0.0020987988	0.0
187645041	5000000	0.0015339851	0.0
450057883	5000000	0.0025880337	0.0
1295390003	5000000	0.0015740395	0.0
1360839354	5000000	0.0015320778	0.0
1493283650	5000000	0.002122879	0.0
1843349527	5000000	0.0017590523	0.0
1980098116	5000000	0.0014488697	0.0
2109248666	5000000	0.0015950203	0.0
2147445644	5000000	0.0015628338	0.0
2147470852	5000000	0.0015888214	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	6000000	0.001529932	1.0
5000	6000000	0.0015530586	0.0
61396	6000000	0.0015571117	0.0
152503	6000000	0.0018188953	0.0
214826	6000000	0.0021598339	0.0
3128036	6000000	0.0019888878	1.0
6337399	6000000	0.0020759106	1.0
10393545	6000000	0.0017168522	1.0
14700764	6000000	0.0015439987	0.0
187645041	6000000	0.002161026	0.0
450057883	6000000	0.0015659332	0.0
1295390003	6000000	0.00207901	0.0
1360839354	6000000	0.0015828609	0.0
1493283650	6000000	0.0015420914	0.0
1843349527	6000000	0.001557827	0.0
1980098116	6000000	0.0014591217	0.0
2109248666	6000000	0.0020539761	0.0
2147445644	6000000	0.0015289783	0.0
2147470852	6000000	0.002076149	0.0

