Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	0.0021650791	1.0
5000	1000000	0.0020699501	0.0
61396	1000000	0.0021219254	0.0
152503	1000000	0.0016272068	0.0
214826	1000000	0.0020270348	0.0
3128036	1000000	0.0015149117	1.0
6337399	1000000	0.0024521351	1.0
10393545	1000000	0.002161026	1.0
14700764	1000000	0.0020449162	0.0
187645041	1000000	0.0021572113	0.0
450057883	1000000	0.0015890598	0.0
1295390003	1000000	0.0023679733	0.0
1360839354	1000000	0.0020229816	0.0
1493283650	1000000	0.001543045	0.0
1843349527	1000000	0.0021021366	0.0
1980098116	1000000	0.0015070438	0.0
2109248666	1000000	0.0020508766	0.0
2147445644	1000000	0.0017080307	0.0
2147470852	1000000	0.0020840168	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	0.0022799969	1.0
5000	2000000	0.0014789104	0.0
61396	2000000	0.0015637875	0.0
152503	2000000	0.0015399456	0.0
214826	2000000	0.0014960766	0.0
3128036	2000000	0.0019929409	1.0
6337399	2000000	0.0020940304	1.0
10393545	2000000	0.001513958	1.0
14700764	2000000	0.0017251968	0.0
187645041	2000000	0.0018110275	0.0
450057883	2000000	0.0015089512	0.0
1295390003	2000000	0.0019869804	0.0
1360839354	2000000	0.0016279221	0.0
1493283650	2000000	0.0021121502	0.0
1843349527	2000000	0.0015070438	0.0
1980098116	2000000	0.0015540123	0.0
2109248666	2000000	0.0019330978	0.0
2147445644	2000000	0.0022118092	0.0
2147470852	2000000	0.0019600391	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	0.0021309853	1.0
5000	3000000	0.0020849705	0.0
61396	3000000	0.0015509129	0.0
152503	3000000	0.001486063	0.0
214826	3000000	0.0015590191	0.0
3128036	3000000	0.0015180111	1.0
6337399	3000000	0.0020668507	1.0
10393545	3000000	0.0015499592	1.0
14700764	3000000	0.0022690296	0.0
187645041	3000000	0.0015611649	0.0
450057883	3000000	0.0021498203	0.0
1295390003	3000000	0.0015239716	0.0
1360839354	3000000	0.0019710064	0.0
1493283650	3000000	0.0015230179	0.0
1843349527	3000000	0.00152421	0.0
1980098116	3000000	0.0015029907	0.0
2109248666	3000000	0.0020711422	0.0
2147445644	3000000	0.0014750957	0.0
2147470852	3000000	0.0020830631	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	0.0020558834	1.0
5000	4000000	0.0017549992	0.0
61396	4000000	0.0020601749	0.0
152503	4000000	0.0015819073	0.0
214826	4000000	0.0021419525	0.0
3128036	4000000	0.0015461445	1.0
6337399	4000000	0.001529932	1.0
10393545	4000000	0.0020229816	1.0
14700764	4000000	0.0019958019	0.0
187645041	4000000	0.001529932	0.0
450057883	4000000	0.0021979809	0.0
1295390003	4000000	0.0020909309	0.0
1360839354	4000000	0.0016000271	0.0
1493283650	4000000	0.0017721653	0.0
1843349527	4000000	0.0015358925	0.0
1980098116	4000000	0.0020499229	0.0
2109248666	4000000	0.0018939972	0.0
2147445644	4000000	0.0014560223	0.0
2147470852	4000000	0.0023570061	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	5000000	0.0020239353	1.0
5000	5000000	0.0020821095	0.0
61396	5000000	0.002655983	0.0
152503	5000000	0.001554966	0.0
214826	5000000	0.0015280247	0.0
3128036	5000000	0.002106905	1.0
6337399	5000000	0.0020809174	1.0
10393545	5000000	0.0015530586	1.0
14700764	5000000	0.0018129349	0.0
187645041	5000000	0.0015468597	0.0
450057883	5000000	0.0019659996	0.0
1295390003	5000000	0.0015048981	0.0
1360839354	5000000	0.0015158653	0.0
1493283650	5000000	0.0021760464	0.0
1843349527	5000000	0.0020539761	0.0
1980098116	5000000	0.0017230511	0.0
2109248666	5000000	0.0020699501	0.0
2147445644	5000000	0.0015480518	0.0
2147470852	5000000	0.0018160343	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	6000000	0.0015568733	1.0
5000	6000000	0.0019788742	0.0
61396	6000000	0.0015361309	0.0
152503	6000000	0.0016670227	0.0
214826	6000000	0.0015380383	0.0
3128036	6000000	0.0015721321	1.0
6337399	6000000	0.0015280247	1.0
10393545	6000000	0.0015540123	1.0
14700764	6000000	0.0021319389	0.0
187645041	6000000	0.0021750927	0.0
450057883	6000000	0.0020990372	0.0
1295390003	6000000	0.0015888214	0.0
1360839354	6000000	0.0015058517	0.0
1493283650	6000000	0.0020389557	0.0
1843349527	6000000	0.0019731522	0.0
1980098116	6000000	0.0019798279	0.0
2109248666	6000000	0.0014939308	0.0
2147445644	6000000	0.0016450882	0.0
2147470852	6000000	0.0014939308	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	7000000	0.0015890598	1.0
5000	7000000	0.0015890598	0.0
61396	7000000	0.0021038055	0.0
152503	7000000	0.0020370483	0.0
214826	7000000	0.0024108887	0.0
3128036	7000000	0.002133131	1.0
6337399	7000000	0.0016291142	1.0
10393545	7000000	0.0021309853	1.0
14700764	7000000	0.002063036	0.0
187645041	7000000	0.0021779537	0.0
450057883	7000000	0.0015990734	0.0
1295390003	7000000	0.0020508766	1.0
1360839354	7000000	0.0018339157	0.0
1493283650	7000000	0.0016040802	1.0
1843349527	7000000	0.0014691353	0.0
1980098116	7000000	0.0019130707	0.0
2109248666	7000000	0.001996994	0.0
2147445644	7000000	0.0020051003	0.0
2147470852	7000000	0.002010107	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	8000000	0.0020959377	1.0
5000	8000000	0.0014688969	0.0
61396	8000000	0.0023272038	0.0
152503	8000000	0.0017931461	0.0
214826	8000000	0.0015380383	0.0
3128036	8000000	0.0020151138	1.0
6337399	8000000	0.0016798973	1.0
10393545	8000000	0.0020780563	1.0
14700764	8000000	0.0015809536	0.0
187645041	8000000	0.0015609264	0.0
450057883	8000000	0.0020880699	0.0
1295390003	8000000	0.0021789074	1.0
1360839354	8000000	0.0020740032	0.0
1493283650	8000000	0.0020470619	1.0
1843349527	8000000	0.0017318726	0.0
1980098116	8000000	0.0018029213	0.0
2109248666	8000000	0.0021259785	0.0
2147445644	8000000	0.0015540123	0.0
2147470852	8000000	0.0019118786	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	9000000	0.0015969276	1.0
5000	9000000	0.0020601749	0.0
61396	9000000	0.0021178722	0.0
152503	9000000	0.0015699863	0.0
214826	9000000	0.0020999908	0.0
3128036	9000000	0.0020370483	1.0
6337399	9000000	0.0021340847	1.0
10393545	9000000	0.0015690327	1.0
14700764	9000000	0.0015778542	0.0
187645041	9000000	0.0019769669	0.0
450057883	9000000	0.0019619465	0.0
1295390003	9000000	0.0016198158	1.0
1360839354	9000000	0.0020329952	0.0
1493283650	9000000	0.0019290447	1.0
1843349527	9000000	0.0019829273	1.0
1980098116	9000000	0.0014939308	0.0
2109248666	9000000	0.0019209385	0.0
2147445644	9000000	0.0020060539	0.0
2147470852	9000000	0.0020151138	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
