Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	0.010751009	0.0
5000	1000000	0.0019209385	0.0
61396	1000000	0.001953125	0.0
152503	1000000	0.0024590492	0.0
214826	1000000	0.0018250942	0.0
3128036	1000000	0.001996994	0.0
6337399	1000000	0.0023899078	0.0
10393545	1000000	0.0018088818	0.0
14700764	1000000	0.002384901	0.0
187645041	1000000	0.0017940998	0.0
450057883	1000000	0.002407074	0.0
1295390003	1000000	0.0023910999	0.0
1360839354	1000000	0.0024330616	0.0
1493283650	1000000	0.0020360947	1.0
1843349527	1000000	0.0018780231	0.0
1980098116	1000000	0.0023870468	0.0
2109248666	1000000	0.0019869804	0.0
2147445644	1000000	0.001901865	0.0
2147470852	1000000	0.0019900799	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	0.0021348	0.0
5000	2000000	0.0021297932	0.0
61396	2000000	0.0027210712	0.0
152503	2000000	0.0021178722	0.0
214826	2000000	0.0023591518	0.0
3128036	2000000	0.0019779205	1.0
6337399	2000000	0.0020990372	0.0
10393545	2000000	0.0020639896	0.0
14700764	2000000	0.0021560192	0.0
187645041	2000000	0.0020978451	0.0
450057883	2000000	0.0021340847	0.0
1295390003	2000000	0.0021028519	0.0
1360839354	2000000	0.002204895	0.0
1493283650	2000000	0.0018770695	1.0
1843349527	2000000	0.0023519993	0.0
1980098116	2000000	0.0021278858	0.0
2109248666	2000000	0.0019938946	0.0
2147445644	2000000	0.0021231174	0.0
2147470852	2000000	0.0019600391	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	0.0024909973	0.0
5000	3000000	0.0025751591	0.0
61396	3000000	0.0024781227	0.0
152503	3000000	0.0079419613	0.0
214826	3000000	0.002420187	0.0
3128036	3000000	0.0027699471	1.0
6337399	3000000	0.0022690296	0.0
10393545	3000000	0.0026140213	0.0
14700764	3000000	0.0024108887	0.0
187645041	3000000	0.0021321774	0.0
450057883	3000000	0.0025010109	0.0
1295390003	3000000	0.0021688938	0.0
1360839354	3000000	0.0026469231	0.0
1493283650	3000000	0.0022509098	1.0
1843349527	3000000	0.0027730465	1.0
1980098116	3000000	0.0026009083	0.0
2109248666	3000000	0.0025699139	0.0
2147445644	3000000	0.0026478767	0.0
2147470852	3000000	0.002546072	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	0.0031979084	0.0
5000	4000000	0.0027210712	0.0
61396	4000000	0.0027849674	0.0
152503	4000000	0.0033421516	0.0
214826	4000000	0.0027508736	0.0
3128036	4000000	0.0023438931	1.0
6337399	4000000	0.002655983	0.0
10393545	4000000	0.0026469231	0.0
