Número a buscar	Tamaño de n	Tiempo	Encontrado
0	1000000	0.0007770061	0.0
5000	1000000	0.0007698536	0.0
61396	1000000	0.0007441044	0.0
152503	1000000	0.0007038116	0.0
214826	1000000	0.0007600784	0.0
3128036	1000000	0.0006980896	0.0
6337399	1000000	0.0006821156	0.0
10393545	1000000	0.0007369518	0.0
14700764	1000000	0.0006840229	0.0
187645041	1000000	0.0009219646	0.0
450057883	1000000	0.0008449554	0.0
1295390003	1000000	0.0007550716	0.0
1360839354	1000000	0.0009660721	0.0
1493283650	1000000	0.0003731251	1.0
1843349527	1000000	0.0007619858	0.0
1980098116	1000000	0.0011520386	0.0
2109248666	1000000	0.0007519722	0.0
2147445644	1000000	0.0008318424	0.0
2147470852	1000000	0.0007591248	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	2000000	0.0014469624	0.0
5000	2000000	0.0014660358	0.0
61396	2000000	0.0014550686	0.0
152503	2000000	0.0015268326	0.0
214826	2000000	0.0015199184	0.0
3128036	2000000	0.0010449886	1.0
6337399	2000000	0.0016028881	0.0
10393545	2000000	0.0014979839	0.0
14700764	2000000	0.0014209747	0.0
187645041	2000000	0.0015580654	0.0
450057883	2000000	0.0014669895	0.0
1295390003	2000000	0.0014150143	0.0
1360839354	2000000	0.0015358925	0.0
1493283650	2000000	0.0004379749	1.0
1843349527	2000000	0.0014541149	0.0
1980098116	2000000	0.0015480518	0.0
2109248666	2000000	0.0015039444	0.0
2147445644	2000000	0.0014250278	0.0
2147470852	2000000	0.0014879704	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	3000000	0.0022540092	0.0
5000	3000000	0.0022668839	0.0
61396	3000000	0.0023059845	0.0
152503	3000000	0.0023231506	0.0
214826	3000000	0.0022320747	0.0
3128036	3000000	0.000991106	1.0
6337399	3000000	0.0022881031	0.0
10393545	3000000	0.0022530556	0.0
14700764	3000000	0.002202034	0.0
187645041	3000000	0.0022499561	0.0
450057883	3000000	0.0021550655	0.0
1295390003	3000000	0.0021679401	0.0
1360839354	3000000	0.0020918846	0.0
1493283650	3000000	0.000374794	1.0
1843349527	3000000	0.0018000603	1.0
1980098116	3000000	0.0022320747	0.0
2109248666	3000000	0.0022349358	0.0
2147445644	3000000	0.0021710396	0.0
2147470852	3000000	0.0022859573	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	4000000	0.0029911995	0.0
5000	4000000	0.0029609203	0.0
61396	4000000	0.0031158924	0.0
152503	4000000	0.0029070377	0.0
214826	4000000	0.002959013	0.0
3128036	4000000	0.0010299683	1.0
6337399	4000000	0.003123045	0.0
10393545	4000000	0.0029809475	0.0
14700764	4000000	0.0030989647	0.0
187645041	4000000	0.0030460358	0.0
450057883	4000000	0.0030939579	0.0
1295390003	4000000	0.0029120445	0.0
1360839354	4000000	0.0028760433	0.0
1493283650	4000000	0.0003700256	1.0
1843349527	4000000	0.0017619133	1.0
1980098116	4000000	0.0029160976	0.0
2109248666	4000000	0.0030889511	0.0
2147445644	4000000	0.002959013	0.0
2147470852	4000000	0.0029060841	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	5000000	0.0038030148	0.0
5000	5000000	0.0037600994	0.0
61396	5000000	0.0037841797	0.0
152503	5000000	0.0037720203	0.0
214826	5000000	0.0039110184	0.0
3128036	5000000	0.0009799004	1.0
6337399	5000000	0.0037970543	0.0
10393545	5000000	0.003631115	0.0
14700764	5000000	0.0037531853	0.0
187645041	5000000	0.0038981438	0.0
450057883	5000000	0.0038559437	0.0
1295390003	5000000	0.0037901402	0.0
1360839354	5000000	0.0037651062	0.0
1493283650	5000000	0.0004179478	1.0
1843349527	5000000	0.001718998	1.0
1980098116	5000000	0.0037977695	0.0
2109248666	5000000	0.0037600994	0.0
2147445644	5000000	0.0038151741	0.0
2147470852	5000000	0.0036840439	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	6000000	0.0045900345	0.0
5000	6000000	0.0044710636	0.0
61396	6000000	0.0044600964	0.0
152503	6000000	0.0044848919	0.0
214826	6000000	0.0045678616	0.0
3128036	6000000	0.0010771751	1.0
6337399	6000000	0.004502058	0.0
10393545	6000000	0.0045731068	0.0
14700764	6000000	0.0044958591	0.0
187645041	6000000	0.0047049522	0.0
450057883	6000000	0.0045890808	0.0
1295390003	6000000	0.0045700073	0.0
1360839354	6000000	0.0044858456	0.0
1493283650	6000000	0.000387907	1.0
1843349527	6000000	0.0017571449	1.0
1980098116	6000000	0.0045320988	0.0
2109248666	6000000	0.0045378208	0.0
2147445644	6000000	0.0048780441	0.0
2147470852	6000000	0.0046069622	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	7000000	0.0054080486	0.0
5000	7000000	0.0054399967	0.0
61396	7000000	0.0063269138	0.0
152503	7000000	0.0054001808	0.0
214826	7000000	0.0052900314	0.0
3128036	7000000	0.0009710789	1.0
6337399	7000000	0.0056478977	1.0
10393545	7000000	0.005562067	1.0
14700764	7000000	0.00522995	0.0
187645041	7000000	0.0052759647	0.0
450057883	7000000	0.005409956	0.0
1295390003	7000000	0.0053069592	0.0
1360839354	7000000	0.0052418709	0.0
1493283650	7000000	0.0003771782	1.0
1843349527	7000000	0.0019249916	1.0
1980098116	7000000	0.0075678825	0.0
2109248666	7000000	0.0051701069	1.0
2147445644	7000000	0.0053570271	0.0
2147470852	7000000	0.0053510666	0.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	8000000	0.0062358379	0.0
5000	8000000	0.0060589314	0.0
61396	8000000	0.0060949326	0.0
152503	8000000	0.0060639381	0.0
214826	8000000	0.0060908794	0.0
3128036	8000000	0.0010361671	1.0
6337399	8000000	0.0049059391	1.0
10393545	8000000	0.0054008961	1.0
14700764	8000000	0.0063261986	0.0
187645041	8000000	0.0059521198	0.0
450057883	8000000	0.0060050488	0.0
1295390003	8000000	0.0058758259	0.0
1360839354	8000000	0.0060629845	0.0
1493283650	8000000	0.000453949	1.0
1843349527	8000000	0.0017948151	1.0
1980098116	8000000	0.0062768459	0.0
2109248666	8000000	0.0051939487	1.0
2147445644	8000000	0.0059530735	0.0
2147470852	8000000	0.005988121	1.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	9000000	0.0069980621	0.0
5000	9000000	0.0065000057	0.0
61396	9000000	0.0068678856	0.0
152503	9000000	0.0303242207	0.0
214826	9000000	0.0069210529	0.0
3128036	9000000	0.0020129681	1.0
6337399	9000000	0.0048069954	1.0
10393545	9000000	0.0053501129	1.0
14700764	9000000	0.0069890022	0.0
187645041	9000000	0.0069000721	0.0
450057883	9000000	0.0068628788	0.0
1295390003	9000000	0.0064530373	1.0
1360839354	9000000	0.0069150925	0.0
1493283650	9000000	0.0003769398	1.0
1843349527	9000000	0.0018188953	1.0
1980098116	9000000	0.0068609715	0.0
2109248666	9000000	0.0051019192	1.0
2147445644	9000000	0.0068120956	0.0
2147470852	9000000	0.0060300827	1.0

Número a buscar	Tamaño de n	Tiempo	Encontrado
0	10000000	0.0075268745	0.0
5000	10000000	0.0075550079	0.0
61396	10000000	0.0112199783	0.0
152503	10000000	0.0077028275	0.0
214826	10000000	0.0078001022	0.0
3128036	10000000	0.0012071133	1.0
6337399	10000000	0.0048429966	1.0
10393545	10000000	0.0052361488	1.0
14700764	10000000	0.0076928139	0.0
187645041	10000000	0.0076599121	0.0
450057883	10000000	0.0076520443	0.0
1295390003	10000000	0.0063691139	1.0
1360839354	10000000	0.0297529697	0.0
1493283650	10000000	0.0003728867	1.0
1843349527	10000000	0.0018661022	1.0
1980098116	10000000	0.007516861	0.0
2109248666	10000000	0.0051729679	1.0
2147445644	10000000	0.0074830055	0.0
2147470852	10000000	0.0059680939	1.0


Coeficientes
f(n)= 7.312410383413078e-10*n+-0.00016412651929824588
f(n)= 0.0028123928739632576*n^-0.03924489848039577
f(n)= 2.30305126669689e-07*e^(-7.020348268485977n)
f(n)= 0.9786943447358738*ln(n)+-20.753092441103707
f(n)= 1/(-9.939062318523318e-05*n+955.8327158825184)
